Id. zařízení;Typ;Název zařízení;Obec;Ulice;Č.p.;Č.o.;M.část.;PSČ;Cizí vyučovací jazyk;Kapacita;Platnost zařízení;address
181050340;A00;Mateřská škola;Hlincová Hora;;5;;Hlincová Hora;37371;;34;Platné;Hlincová Hora, 5
181050358;L13;Školní jídelna - výdejna;Hlincová Hora;;5;;Hlincová Hora;37371;;34;Platné;Hlincová Hora, 5
181052105;A00;Mateřská škola;České Budějovice;F. A. Gerstnera;1735;2;České Budějovice 7;37001;;42;Platné;České Budějovice, F. A. Gerstnera 1735/2
181052113;L13;Školní jídelna - výdejna;České Budějovice;F. A. Gerstnera;1735;2;České Budějovice 7;37001;;42;Platné;České Budějovice, F. A. Gerstnera 1735/2
181053039;A00;Mateřská škola;Husinec;Komenského;73;;Husinec;38421;;20;Platné;Husinec, Komenského 73
181053047;L13;Školní jídelna - výdejna;Husinec;Komenského;73;;Husinec;38421;;20;Platné;Husinec, Komenského 73
181060990;A00;Mateřská škola;České Budějovice;Jírovcova;915;61;České Budějovice 3;37004;;20;Platné;České Budějovice, Jírovcova 915/61
181061007;L13;Školní jídelna - výdejna;České Budějovice;Jírovcova;915;61;České Budějovice 3;37004;;20;Platné;České Budějovice, Jírovcova 915/61
181061252;A00;Mateřská škola;České Budějovice;Okružní;517;10;České Budějovice 4;37001;;56;Platné;České Budějovice, Okružní 517/10
181061261;L13;Školní jídelna - výdejna;České Budějovice;Okružní;517;10;České Budějovice 4;37001;;131;Platné;České Budějovice, Okružní 517/10
181119927;B00;Základní škola;České Budějovice;Okružní;517;10;České Budějovice 4;37001;;75;Platné;České Budějovice, Okružní 517/10
181121506;G21;Školní družina;České Budějovice;Okružní;517;10;České Budějovice 4;37001;;75;Platné;České Budějovice, Okružní 517/10
181062879;A00;Mateřská škola;České Budějovice;Preslova;592;2;České Budějovice 7;37001;;131;Platné;České Budějovice, Preslova 592/2
181062887;L13;Školní jídelna - výdejna;České Budějovice;Preslova;592;2;České Budějovice 7;37001;;131;Platné;České Budějovice, Preslova 592/2
